1.885: [GC 1.885: [DefNew: 959K->64K(960K), 0.0031706 secs] 85443K->85234K(524224K), 0.0032379 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.890: [GC 1.890: [DefNew: 960K->63K(960K), 0.0029487 secs] 86131K->85830K(524224K), 0.0030161 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.894: [GC 1.894: [DefNew: 959K->63K(960K), 0.0030671 secs] 86726K->86441K(524224K), 0.0031335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.899: [GC 1.899: [DefNew: 959K->63K(960K), 0.0032466 secs] 87338K->87162K(524224K), 0.0033106 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.904: [GC 1.904: [DefNew: 959K->63K(960K), 0.0030921 secs] 88059K->87814K(524224K), 0.0031533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.909: [GC 1.909: [DefNew: 959K->63K(960K), 0.0029151 secs] 88710K->88454K(524224K), 0.0029699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.913: [GC 1.913: [DefNew: 959K->63K(960K), 0.0028015 secs] 89351K->89038K(524224K), 0.0028515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.918: [GC 1.918: [DefNew: 959K->64K(960K), 0.0031903 secs] 89934K->89688K(524224K), 0.0032471 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.922: [GC 1.922: [DefNew: 960K->63K(960K), 0.0030820 secs] 90585K->90284K(524224K), 0.0031499 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.927: [GC 1.927: [DefNew: 959K->64K(960K), 0.0034025 secs] 91181K->90930K(524224K), 0.0034670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.933: [GC 1.933: [DefNew: 960K->64K(960K), 0.0029545 secs] 91827K->91586K(524224K), 0.0030123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.937: [GC 1.937: [DefNew: 960K->63K(960K), 0.0028491 secs] 92483K->92193K(524224K), 0.0029021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.942: [GC 1.942: [DefNew: 959K->63K(960K), 0.0029545 secs] 93090K->92813K(524224K), 0.0030190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.946: [GC 1.946: [DefNew: 959K->64K(960K), 0.0036099 secs] 93710K->93483K(524224K), 0.0036744 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.952: [GC 1.952: [DefNew: 960K->64K(960K), 0.0032076 secs] 94380K->94177K(524224K), 0.0032769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.957: [GC 1.957: [DefNew: 960K->64K(960K), 0.0031364 secs] 95073K->94841K(524224K), 0.0031985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.962: [GC 1.962: [DefNew: 960K->64K(960K), 0.0030888 secs] 95738K->95458K(524224K), 0.0031629 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.967: [GC 1.967: [DefNew: 960K->63K(960K), 0.0031739 secs] 96356K->96114K(524224K), 0.0032476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.971: [GC 1.971: [DefNew: 959K->63K(960K), 0.0029747 secs] 97011K->96758K(524224K), 0.0030320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.976: [GC 1.976: [DefNew: 959K->64K(960K), 0.0029901 secs] 97655K->97394K(524224K), 0.0031162 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.981: [GC 1.981: [DefNew: 960K->64K(960K), 0.0032875 secs] 98290K->98086K(524224K), 0.0033438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.987: [GC 2.038: [DefNew: 960K->64K(960K), 0.0035589 secs] 98982K->98772K(524224K), 0.0036522 secs] [Times: user=0.01 sys=0.00, real=0.06 secs] 
2.043: [GC 2.043: [DefNew: 960K->63K(960K), 0.0032168 secs] 99669K->99414K(524224K), 0.0032716 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.048: [GC 2.048: [DefNew: 959K->64K(960K), 0.0031653 secs] 100311K->100105K(524224K), 0.0032254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.053: [GC 2.053: [DefNew: 960K->64K(960K), 0.0029906 secs] 101001K->100703K(524224K), 0.0030392 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.057: [GC 2.057: [DefNew: 960K->64K(960K), 0.0037807 secs] 101599K->101355K(524224K), 0.0038423 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.064: [GC 2.064: [DefNew: 960K->63K(960K), 0.0036965 secs] 102253K->102087K(524224K), 0.0037600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.069: [GC 2.069: [DefNew: 959K->63K(960K), 0.0032298 secs] 102985K->102781K(524224K), 0.0032938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.076: [GC 2.076: [DefNew: 959K->63K(960K), 0.0034550 secs] 103678K->103480K(524224K), 0.0035276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.081: [GC 2.081: [DefNew: 959K->64K(960K), 0.0034795 secs] 104376K->104122K(524224K), 0.0035454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.087: [GC 2.087: [DefNew: 960K->63K(960K), 0.0035368 secs] 105018K->104817K(524224K), 0.0036012 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
